                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5497,                 5.0834,                 1.3878,                      0,                      0,                      0,                      0,                 1.2519,                 5.0117,                 1.1261,              3.672e-05,              3.672e-05,              3.672e-05
                      2,                 1.4911,                 4.9369,                 1.3413,                      0,                      0,                      0,                      0,                 1.2615,                 4.9595,                 1.1255,             7.4733e-05,             7.4733e-05,             7.4733e-05
                      3,                 1.4766,                 4.6825,                 1.3032,                    0.1,                  0.055,                0.07725,                 0.0515,                 1.2803,                 4.8523,                 1.1556,             0.00011198,             0.00011198,             0.00011198
                      4,                 1.5251,                 4.2702,                 1.2834,                 0.1137,                0.16755,                0.13873,                0.08687,                 1.3809,                 4.5256,                 1.2216,             0.00014846,             0.00014846,             0.00014846
                      5,                 1.5287,                 3.8069,                  1.303,                 0.0837,                 0.2701,                0.14934,                0.10291,                 1.4511,                 4.1772,                 1.2692,             0.00018417,             0.00018417,             0.00018417
                      6,                 1.4981,                 3.4299,                 1.2666,                0.08853,                0.29713,                 0.1759,                0.12061,                 1.4918,                 3.9382,                 1.2901,              0.0001939,              0.0001939,              0.0001939
                      7,                 1.4935,                 3.2596,                 1.2824,                0.08988,                0.30844,                  0.172,                0.10979,                 1.5078,                  3.867,                 1.2954,             0.00019188,             0.00019188,             0.00019188
                      8,                 1.4355,                 3.1423,                 1.2648,                   0.72,                0.11447,                  0.209,                0.13525,                  1.491,                 3.7789,                  1.291,             0.00018986,             0.00018986,             0.00018986
                      9,                 1.4075,                 2.9801,                 1.2545,                0.70155,                0.12339,                0.20928,                0.12736,                 1.5068,                 3.6366,                 1.2876,             0.00018784,             0.00018784,             0.00018784
                     10,                 1.4617,                 2.8479,                 1.2345,                0.57456,                0.17352,                0.25123,                0.15464,                 1.5113,                 3.5503,                 1.2779,             0.00018582,             0.00018582,             0.00018582
                     11,                 1.3893,                 2.7172,                 1.2224,                 0.6384,                 0.1818,                0.24805,                0.15479,                 1.5159,                 3.4264,                 1.2814,              0.0001838,              0.0001838,              0.0001838
                     12,                 1.4183,                 2.5837,                   1.22,                 0.6381,                0.18186,                0.22925,                0.14829,                 1.4967,                 3.3882,                 1.2905,             0.00018178,             0.00018178,             0.00018178
                     13,                 1.4514,                 2.5791,                 1.2388,                0.53173,                0.19887,                 0.2329,                0.15744,                 1.4993,                 3.4144,                 1.3051,             0.00017976,             0.00017976,             0.00017976
                     14,                 1.4507,                 2.5717,                 1.2424,                0.51931,                0.18265,                0.22766,                0.14199,                 1.5054,                 3.3402,                 1.3204,             0.00017775,             0.00017775,             0.00017775
                     15,                 1.3625,                 2.4154,                 1.1984,                0.55667,                0.17354,                0.24625,                0.16366,                 1.5057,                  3.204,                 1.2937,             0.00017573,             0.00017573,             0.00017573
